Title,Description
Mysterious Island,"During the Civil War a group of Union soldiers, a Confederate and a civilian escape the stockade using a hot-air balloon and end up on a strange Pacific island."
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Final Destination,"After getting a premonition about a plane crash on his school trip, Alex, a student, saves a few of his classmates. However, their situation gets complicated when death starts chasing them."
Virgin Territory,Young Florentines take refuge from the black plague and engage in bawdy adventures and lusty exchanges.
Now You See Me 2,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Star Wars: Episode I - The Phantom Menace,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory."
Dune: Part Two,
Avengers: Endgame,
The Hunger Games,
The Bhootnii,
Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
The Truman Show,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.
Retro,A gangster tries to avoid violence and lead a peaceful life after vowing to his wife.
Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.
Flow,
The Alto Knights,
Screamboat,"On the last ferry of the night in New York, passengers and crew are hunted by a merciless rat, and what should have been a peaceful crossing turns into a bloody massacre."
The Woman in the Yard,
Moana 2,
The Ugly Stepsister,
Sonic the Hedgehog 3,
X,
Wolf Man,"A family at a remote farmhouse is attacked by an unseen animal, but as the night stretches on, the father begins to transform into something unrecognizable."
Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
In the Lost Lands,
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
No Hard Feelings,
The Hunger Games: The Ballad of Songbirds & Snakes,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
"Sorry, Baby","Something bad happened to Agnes. But life goes on - for everyone around her, at least."
Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Fountain of Youth,
Midsommar,
Civil War,
Goodfellas,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Smile 2,
Parthenope,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters."
Clown in a Cornfield,"A fading midwestern town in which Frendo the clown, a symbol of bygone success, reemerges as a terrifying scourge."
Dazed and Confused,The adventures of high school and junior high students on the last day of school in May 1976.
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
The Life of Chuck,"A life-affirming, genre-bending story based on Stephen King's novella about three chapters in the life of an ordinary man named Charles Krantz."
The Princess Bride,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Primal Fear,A high-profile murder intrigues a publicity hungry lawyer.
Magazine Dreams,An amateur bodybuilder battles both the limits of his physical body and his own inner demons to gain recognition.
Anyone But You,
28 Days Later,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary."
Forrest Gump,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
Longlegs,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Poor Things,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
It Ends with Us,
The Phoenician Scheme,The story of a family and a family business.
The Ministry of Ungentlemanly Warfare,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
We Live in Time,
The Shrouds,"Karsh, an innovative businessman and grieving widower, builds a device to connect with the dead inside a burial shroud."
365 Days,
The Prestige,Rival 19th-century magicians engage in a bitter battle for trade secrets.
The Return,
Jurassic Park,
Mission: Impossible,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
On Swift Horses,
Fifty Shades of Grey,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement."
The Dark Knight Rises,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
Superboys of Malegaon,"The journey of an aspiring filmmaker as he bands together his group of friends to make a film for his town, Malegaon."
Friendship,A suburban dad falls hard for his charismatic new neighbor.
Raiders of the Lost Ark,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
Jaat,"In this Hindi-language action thriller, an elite Indian government operative is sent to Sri Lanka to bring down a ruthless terrorist whose activities are financed by crime."
Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.
Spider-Man: Across the Spider-Verse,
From Dusk Till Dawn,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
Heart Eyes,"For the past several years, the ""Heart Eyes Killer"" has wreaked havoc on Valentine's Day by stalking and murdering romantic couples. This Valentine's Day, no couple is safe."
The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
American Pie,Four teenage boys enter a pact to lose their virginity by prom night.
Batman Begins,
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Twilight,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
,
HIT: The 3rd Case,
Prey,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth."
The Apprentice,
Holland,"A woman's picture-perfect life in quaint Holland, Michigan, crumbles when she and a friend uncover a twisted secret in their midst."
Juror #2,
Gone Girl,The husband of a missing woman becomes the chief suspect in her disappearance.
Borbaad,
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
Grease,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
The Goonies,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
The Assessment,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare."
Furiosa: A Mad Max Saga,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Star Wars: Episode II - Attack of the Clones,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi."
The Passion of the Christ,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
Alien,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Léon: The Professional,An Italian hit man protects a New York orphan.
Adult Best Friends,"Inseparable since childhood, levelheaded Katie takes her codependent best friend Delaney on a girls' trip to break the news that she is getting married. Things do not go as planned."
The Notebook,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.
Good Will Hunting,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
Matilda,A girl gifted with a keen intellect and psychic powers uses both to get even with her callous family and free her kindly schoolteacher from the tyrannical grip of a sadistic headmistress.
Wrath of Man,A mysteriously stoic character is hired as a security guard by a cash truck company responsible for transporting a lot of money around Los Angeles each week.
Blink Twice,
Flight Risk,"A pilot transports an Air Marshal accompanying a fugitive to trial. As they cross the Alaskan wilderness, tensions soar and trust is tested, as not everyone on board is who they seem."
Hell of a Summer,The counselors of a summer camp are terrorized by a masked killer.
Leave the World Behind,"A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices, and two strangers appear at their door."
Thudarum,
All Ladies Do It,"After five years of marriage, Diana discovers the joys of adultery, claiming that she can save her failing relationship through betrayal."
Strange Darling,Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.
Megalopolis,
Pirates of the Caribbean: The Curse of the Black Pearl,
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Prisoners,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.
The Dreamers,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
Top Gun,
Hurry Up Tomorrow,"An insomniac musician encounters a mysterious stranger, leading to a journey that challenges everything he knows about himself."
Paul,Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.
Barbie,
Life or Something Like It,"A reporter interviews a psychic, who tells her that she's going to die and her life is meaningless."
Scarface,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
Chhaava,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj."
American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
In Secret,
Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Kingdom of Heaven,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
All That Jazz,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
The Count of Monte-Cristo,
Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Predator: Killer of Killers,Three of the fiercest warriors in human history become prey to the ultimate killer of killers.
Romeo + Juliet,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
Nope,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.
Star Wars: Episode V - The Empire Strikes Back,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
Hereditary,A grieving family is haunted by tragic and disturbing occurrences.
Dune: Part One,
Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Azrael,
My Fault: London,
Rosario,
Deep Water,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.
Crazxy,Abhimanyu Sood. Good surgeon. Bad father. Questionable human being. He is having the worst day of his life.
Twister,Two storm chasers on the brink of divorce must work together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.
Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
The Handmaiden,
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
Paddington in Peru,
The Beekeeper,
Bullet Train,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
"Salò, or the 120 Days of Sodom","In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to 120 days of torture."
12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
Materialists,A matchmaker's lucrative business is complicated when she falls into a toxic love triangle that threatens her clients.
John Wick,"John Wick is a former hitman grieving the loss of his true love. When his home is broken into, robbed, and his dog killed, he is forced to return to action to exact revenge."
Pitch Perfect,
Guardians of the Galaxy Vol. 3,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Talk to Me,
The Biggest Fan,
Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
"Crazy, Stupid, Love.",
Murder at Yellowstone City,
Knives Out,
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Everything Everywhere All at Once,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
Eden,
MaXXXine,
V for Vengeance,
The Town,A proficient group of thieves rob a bank and hold the manager hostage. Things begin to get complicated when one of the crew members falls in love with her.
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
Eyes Wide Shut,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing."
Fall,"When a high-rise climb goes wrong, best friends Becky and Hunter find themselves stuck at the top of a 2,000-foot TV tower."
The Breakfast Club,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
Tropic Thunder,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
The Green Mile,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.
Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
Dog Man,"Dog Man, half dog and half man, he is sworn to protect and serve as he doggedly pursues the feline supervillain Petey the Cat."
Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
It,
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
10 Things I Hate About You,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat."
Bone Tomahawk,"In the Old West, a small-town sheriff and his rag-tag posse set out to rescue several townspeople from a brutal cave-dwelling, cannibalistic Indian tribe."
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
Kingsman: The Secret Service,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.
Avatar: Fire and Ash,
Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
John Wick: Chapter 4,
Where the Crawdads Sing,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
